Timestamp,Humidity (%),Temperature (°C)
2026-07-30 17:48:15,56.10, 21.40
2026-07-30 17:48:30,56.10, 21.40
2026-07-30 17:48:45,56.10, 21.40
2026-07-30 17:49:00,56.00, 21.40
2026-07-30 17:49:15,56.00, 21.40
2026-07-30 17:49:30,56.00, 21.40
2026-07-30 17:49:45,56.00, 21.40
2026-07-30 17:50:00,56.00, 21.40
2026-07-30 17:50:15,55.90, 21.40
2026-07-30 17:50:30,56.00, 21.40
2026-07-30 17:50:45,56.00, 21.40
2026-07-30 17:51:00,56.10, 21.40
2026-07-30 17:51:15,56.00, 21.40
2026-07-30 17:51:30,56.00, 21.40
2026-07-30 17:51:45,56.00, 21.40
2026-07-30 17:52:00,55.90, 21.40
2026-07-30 17:52:15,55.80, 21.40
2026-07-30 17:52:30,55.80, 21.40
2026-07-30 17:52:45,55.80, 21.40
2026-07-30 17:53:00,55.90, 21.40
2026-07-30 17:53:15,55.80, 21.40
2026-07-30 17:53:30,56.10, 21.40
2026-07-30 17:53:45,56.80, 21.40
2026-07-30 17:54:00,56.10, 21.40
2026-07-30 17:54:15,55.90, 21.40
2026-07-30 17:54:30,55.80, 21.40
2026-07-30 17:54:45,55.70, 21.40
2026-07-30 17:55:00,55.70, 21.40
2026-07-30 17:55:15,55.60, 21.40
2026-07-30 17:55:30,55.60, 21.40
2026-07-30 17:55:45,55.70, 21.40
2026-07-30 17:56:00,55.80, 21.40
2026-07-30 17:56:15,55.80, 21.40
2026-07-30 17:56:30,55.80, 21.40
2026-07-30 17:56:45,55.90, 21.40
2026-07-30 17:57:00,55.80, 21.40
2026-07-30 17:57:15,55.70, 21.40
2026-07-30 17:57:30,55.80, 21.40
2026-07-30 17:57:45,55.80, 21.40
2026-07-30 17:58:00,56.00, 21.40
2026-07-30 17:58:15,56.00, 21.40
2026-07-30 17:58:30,55.80, 21.30
2026-07-30 17:58:45,55.70, 21.30
2026-07-30 17:59:00,55.90, 21.30
2026-07-30 17:59:15,56.00, 21.30
2026-07-30 17:59:30,55.90, 21.30
2026-07-30 17:59:45,55.80, 21.30
2026-07-30 18:00:00,55.80, 21.30
2026-07-30 18:00:15,56.00, 21.30
2026-07-30 18:00:30,56.00, 21.30
2026-07-30 18:00:45,56.00, 21.30
2026-07-30 18:01:00,56.00, 21.30
2026-07-30 18:01:15,56.00, 21.30
2026-07-30 18:01:30,56.00, 21.30
2026-07-30 18:01:45,56.10, 21.30
2026-07-30 18:02:00,56.00, 21.30
2026-07-30 18:02:15,56.10, 21.30
2026-07-30 18:02:30,56.10, 21.30
2026-07-30 18:02:45,56.10, 21.30
2026-07-30 18:03:00,56.60, 21.30
2026-07-30 18:03:15,56.00, 21.30
2026-07-30 18:03:30,55.80, 21.30
2026-07-30 18:03:45,55.80, 21.30
2026-07-30 18:04:00,55.90, 21.30
2026-07-30 18:04:15,56.00, 21.30
2026-07-30 18:04:30,55.00, 21.20
2026-07-30 18:04:45,54.80, 21.20
2026-07-30 18:05:00,54.10, 21.10
2026-07-30 18:05:15,53.90, 21.00
2026-07-30 18:05:30,54.10, 20.60
2026-07-30 18:05:45,54.40, 20.30
2026-07-30 18:06:00,54.40, 19.90
2026-07-30 18:06:15,54.20, 19.60
